ID,name,club,age,height_cm,weight_kg,nationality,eur_value,eur_wage,eur_release_clause,overall,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves
194765,A. Griezmann,Atlético Madrid,26,174,72,France,75e6,15e4,1594e5,88,91,86,85,78,87,30,68,4,4
189509,Thiago,FC Bayern Munich,26,174,70,Spain,705e5,225e3,1216e5,88,90,72,75,85,90,62,63,3,5
188567,P. Aubameyang,Borussia Dortmund,28,187,80,Gabon,61e6,165e3,1037e5,88,88,96,84,75,81,37,71,3,3
184344,L. Bonucci,Milan,30,190,85,Italy,44e6,21e4,748e5,88,88,68,54,70,70,87,81,3,2
183907,J. Boateng,FC Bayern Munich,28,192,90,Germany,48e6,215e3,792e5,88,88,75,50,72,67,88,84,4,2
182493,D. Godín,Atlético Madrid,31,186,78,Uruguay,4e7,125e3,82e6,88,88,67,48,65,63,88,79,3,2
178603,M. Hummels,FC Bayern Munich,28,191,92,Germany,48e6,215e3,792e5,88,88,64,58,75,71,89,76,4,2
176635,M. Özil,Arsenal,28,180,76,Germany,6e7,265e3,111e6,88,88,71,74,87,86,24,58,4,4
167948,H. Lloris,Tottenham Hotspur,30,188,82,France,38e6,165e3,722e5,88,88,88,86,68,90,64,82,4,1
164240,Thiago Silva,Paris Saint-Germain,32,183,79,Brazil,34e6,175e3,629e5,88,88,72,56,73,73,89,79,4,3
41236,Z. Ibrahimović,Manchester United,35,195,95,Sweden,27e6,24e4,5e7,88,88,65,88,81,82,32,82,5,4
9014,A. Robben,FC Bayern Munich,33,180,80,Netherlands,36e6,225e3,594e5,88,88,86,86,81,91,32,63,4,4
215914,N. Kanté,Chelsea,26,168,68,France,525e5,19e4,1011e5,87,90,81,66,75,79,81,84,3,3
199556,M. Verratti,Paris Saint-Germain,24,165,60,Italy,645e5,13e4,1242e5,87,91,65,59,84,89,79,68,3,3
195864,P. Pogba,Manchester United,24,191,84,France,665e5,195e3,128e6,87,92,74,79,84,85,68,88,4,5
190460,C. Eriksen,Tottenham Hotspur,25,182,76,Denmark,65e6,165e3,1284e5,87,91,75,78,88,84,47,63,3,4
181872,A. Vidal,FC Bayern Munich,30,180,75,Chile,375e5,16e4,619e5,87,87,75,81,80,79,83,84,4,3
179813,E. Cavani,Paris Saint-Germain,30,184,71,Uruguay,485e5,16e4,897e5,87,87,77,83,72,80,42,81,4,3
176676,Marcelo,Real Madrid CF,29,174,75,Brazil,38e6,25e4,779e5,87,87,78,69,80,86,83,79,4,4
171877,M. Hamšík,Napoli,29,183,79,Slovakia,485e5,13e4,825e5,87,87,74,80,84,84,68,71,3,3
168651,I. Rakitić,FC Barcelona,29,184,78,Croatia,485e5,275e3,994e5,87,87,65,84,86,83,60,66,4,3
168542,David Silva,Manchester City,31,173,67,Spain,44e6,22e4,814e5,87,87,68,72,87,87,38,61,4,4
162835,S. Handanovič,Inter,32,193,92,Slovenia,29e6,91e3,493e5,87,87,87,86,69,87,56,87,3,1
152729,Piqué,FC Barcelona,30,194,85,Spain,375e5,24e4,769e5,87,87,65,61,69,65,86,76,4,2
41,Iniesta,FC Barcelona,33,171,68,Spain,295e5,26e4,605e5,87,87,71,70,87,90,58,58,4,4
202126,H. Kane,Tottenham Hotspur,23,188,86,England,59e6,165e3,1165e5,86,90,73,87,72,78,42,83,3,3
198710,J. Rodríguez,FC Bayern Munich,25,180,75,Colombia,56e6,25e4,NA,86,89,76,85,85,83,40,68,4,4
197781,Isco,Real Madrid CF,25,176,74,Spain,565e5,25e4,1201e5,86,90,71,83,82,89,54,62,3,4
197445,D. Alaba,FC Bayern Munich,25,180,76,Austria,445e5,15e4,768e5,86,88,86,73,81,80,82,74,4,3
192505,R. Lukaku,Manchester United,24,190,94,Belgium,59e6,21e4,1136e5,86,90,83,85,70,74,34,84,3,3
191043,Alex Sandro,Juventus,26,181,81,Brazil,44e6,175e3,759e5,86,88,86,65,77,81,81,84,3,3
189596,T. Müller,FC Bayern Munich,27,186,75,Germany,475e5,19e4,784e5,86,86,77,82,77,78,46,71,4,3
189511,Sergio Busquets,FC Barcelona,28,189,76,Spain,36e6,25e4,738e5,86,86,40,59,79,74,82,81,4,3
189242,Coutinho,Liverpool,25,171,71,Brazil,56e6,205e3,1106e5,86,89,82,78,83,88,35,64,3,4
188350,M. Reus,Borussia Dortmund,28,180,75,Germany,45e6,12e4,765e5,86,86,88,87,84,86,39,64,4,4
184087,T. Alderweireld,Tottenham Hotspur,28,187,91,Belgium,405e5,165e3,8e7,86,87,66,58,72,65,87,80,3,2
179944,David Luiz,Chelsea,30,189,84,Brazil,33e6,19e4,611e5,86,86,70,64,74,71,84,81,4,3
179844,Diego Costa,Chelsea,28,186,87,Spain,46e6,235e3,851e5,86,86,75,83,65,76,40,88,4,3
178518,R. Nainggolan,Roma,29,176,77,Belgium,425e5,13e4,723e5,86,86,78,80,78,82,81,83,3,3
177610,Javi Martínez,FC Bayern Munich,28,190,81,Spain,36e6,165e3,594e5,86,86,50,60,69,65,86,80,3,2
175943,D. Mertens,Napoli,30,169,61,Belgium,43e6,135e3,731e5,86,86,90,82,79,89,36,55,3,4
172879,Sokratis,Borussia Dortmund,29,186,85,Greece,345e5,11e4,587e5,86,86,78,52,55,60,87,84,3,2
168609,Miranda,Inter,32,186,78,Brazil,255e5,115e3,434e5,86,86,71,49,60,67,88,77,3,2
165153,K. Benzema,Real Madrid CF,29,187,79,France,445e5,295e3,912e5,86,86,78,82,78,82,22,74,4,4
162895,Cesc Fàbregas,Chelsea,30,180,77,Spain,41e6,21e4,759e5,86,86,63,77,88,80,61,64,4,3
156616,F. Ribéry,FC Bayern Munich,34,170,72,France,225e5,175e3,371e5,86,86,82,76,83,90,25,58,4,5
120533,Pepe,Beşiktaş JK,34,188,81,Portugal,135e5,94e3,257e5,86,86,68,51,57,61,86,80,4,2
48940,P. Čech,Arsenal,35,196,90,Czech Republic,105e5,92e3,194e5,86,86,82,87,76,81,42,83,4,1
208418,Y. Carrasco,Atlético Madrid,23,180,67,Belgium,515e5,77e3,1094e5,85,90,88,79,78,88,29,63,3,4
201535,R. Varane,Real Madrid CF,24,191,78,France,465e5,175e3,1046e5,85,92,83,45,61,64,84,79,3,2
201153,Morata,Chelsea,24,189,85,Spain,51e6,17e4,982e5,85,89,83,81,71,80,24,74,3,3
200145,Casemiro,Real Madrid CF,25,184,80,Brazil,42e6,195e3,893e5,85,89,62,68,74,72,84,86,3,2
198219,L. Insigne,Napoli,26,163,59,Italy,45e6,115e3,799e5,85,86,90,74,82,89,25,50,3,4
193747,Koke,Atlético Madrid,25,178,74,Spain,475e5,84e3,1009e5,85,88,72,75,86,82,65,76,3,3
193301,A. Lacazette,Arsenal,26,175,73,France,485e5,18e4,934e5,85,88,86,83,71,85,38,77,3,4
193041,K. Navas,Real Madrid CF,30,185,78,Costa Rica,245e5,165e3,502e5,85,85,89,78,72,88,53,80,3,1
192883,H. Mkhitaryan,Manchester United,28,177,75,Armenia,39e6,195e3,722e5,85,85,86,79,80,87,54,70,3,4
192593,D. Subašić,AS Monaco,32,191,84,Croatia,22e6,46e3,418e5,85,85,84,79,79,87,53,85,3,1
192563,B. Leno,Bayer 04 Leverkusen,25,190,83,Germany,34e6,61e3,604e5,85,88,85,84,74,83,49,85,3,1
192448,M. ter Stegen,FC Barcelona,25,187,85,Germany,355e5,155e3,754e5,85,89,84,83,87,86,45,81,3,1
190547,K. Glik,AS Monaco,29,190,80,Poland,3e7,6e4,57e6,85,85,56,32,44,53,86,84,3,2
189332,Jordi Alba,FC Barcelona,28,170,68,Spain,305e5,215e3,625e5,85,85,93,69,75,82,81,72,3,3
186942,I. Gündoğan,Manchester City,26,180,80,Germany,46e6,19e4,886e5,85,87,71,74,83,87,64,71,3,4
184432,Azpilicueta,Chelsea,27,178,78,Spain,375e5,16e4,722e5,85,87,79,55,75,74,86,78,3,3
183898,A. Di María,Paris Saint-Germain,29,180,75,Argentina,375e5,145e3,694e5,85,85,86,77,82,86,47,68,4,5
180206,M. Pjanić,Juventus,27,180,70,Bosnia Herzegovina,435e5,16e4,75e6,85,86,74,71,86,86,67,69,3,4
173210,C. Marchisio,Juventus,31,180,73,Italy,33e6,16e4,545e5,85,85,78,72,83,84,76,74,3,4
172871,J. Vertonghen,Tottenham Hotspur,30,189,88,Belgium,285e5,13e4,542e5,85,85,67,65,73,70,85,81,3,2
170890,B. Matuidi,Juventus,30,175,70,France,285e5,145e3,47e6,85,85,78,67,77,75,83,84,3,2
167628,S. Ruffier,AS Saint-Étienne,30,188,93,France,245e5,49e3,466e5,85,85,82,84,77,87,48,85,3,1
164169,Filipe Luís,Atlético Madrid,31,182,73,Brazil,25e6,81e3,513e5,85,85,79,62,77,77,82,79,3,3
139720,V. Kompany,Manchester City,31,193,85,Belgium,26e6,17e4,481e5,85,85,63,54,65,64,84,83,4,2
137186,A. Barzagli,Juventus,36,187,87,Italy,5e6,105e3,8300000.000000001,85,85,71,34,57,64,88,73,3,2
225508,E. Bailly,Manchester United,23,187,77,Ivory Coast,355e5,15e4,683e5,84,89,78,42,59,65,84,84,2,2
220834,Marco Asensio,Real Madrid CF,21,180,75,Spain,46e6,175e3,1035e5,84,92,82,82,83,83,39,61,3,4
218667,Bernardo Silva,Manchester City,22,173,64,Portugal,435e5,165e3,892e5,84,91,81,72,81,90,45,61,2,4
212218,A. Laporte,Athletic Club de Bilbao,23,189,85,France,355e5,36e3,772e5,84,89,69,50,66,61,86,78,2,2
211117,D. Alli,Tottenham Hotspur,21,188,80,England,43e6,115e3,903e5,84,90,76,81,77,82,64,78,3,4
208722,S. Mané,Liverpool,25,175,69,Senegal,39e6,175e3,77e6,84,87,93,78,75,85,36,75,3,4
204963,Carvajal,Real Madrid CF,25,173,73,Spain,32e6,195e3,68e6,84,87,82,45,73,79,83,79,3,2
202166,J. Draxler,Paris Saint-Germain,23,187,72,Germany,395e5,12e4,76e6,84,87,78,80,82,86,34,64,3,4
201399,M. Icardi,Inter,24,181,75,Argentina,42e6,105e3,746e5,84,89,78,83,61,75,26,70,3,3
201024,K. Koulibaly,Napoli,26,195,89,Senegal,325e5,96e3,577e5,84,87,73,26,43,56,85,86,3,2
200316,T. Horn,1. FC Köln,24,192,90,Germany,31e6,39e3,589e5,84,90,83,81,83,86,48,82,2,1
192774,K. Manolas,Roma,26,189,83,Greece,315e5,96e3,559e5,84,86,80,19,42,60,86,83,3,2
192227,S. Mustafi,Arsenal,25,184,82,Germany,315e5,145e3,606e5,84,86,67,57,63,62,83,79,3,2
191740,Ander Herrera,Manchester United,27,182,70,Spain,32e6,19e4,592e5,84,84,73,72,81,83,78,77,3,3
191202,N. Matić,Manchester United,28,194,85,Serbia,25e6,18e4,463e5,84,84,64,70,77,72,80,87,3,3
189712,K. Strootman,Roma,27,186,78,Netherlands,35e6,105e3,621e5,84,85,67,74,82,78,78,82,3,3
189505,Pedro,Chelsea,29,169,65,Spain,305e5,2e5,564e5,84,84,82,77,77,85,37,62,3,4
189117,R. Bürki,Borussia Dortmund,26,187,85,Switzerland,26e6,69e3,462e5,84,86,84,83,73,85,48,79,3,1
184120,Bruno,Villarreal CF,33,184,73,Spain,185e5,59e3,389e5,84,84,41,72,79,75,78,77,3,3
181458,I. Perišić,Inter,28,187,80,Croatia,315e5,11e4,536e5,84,84,84,80,78,82,42,75,3,4
180930,E. Džeko,Roma,31,193,84,Bosnia Herzegovina,28e6,115e3,476e5,84,84,64,83,70,74,32,72,3,2
180403,Willian,Chelsea,28,175,77,Brazil,315e5,2e5,583e5,84,84,88,76,81,86,49,64,3,4
179846,S. Khedira,Juventus,30,189,89,Germany,29e6,16e4,479e5,84,84,64,74,80,76,80,84,3,2
179783,R. Fährmann,FC Schalke 04,28,196,95,Germany,25e6,54e3,444e5,84,85,83,86,52,87,43,85,2,1
178750,Sergio Asenjo,Villarreal CF,28,189,87,Spain,25e6,46e3,544e5,84,85,86,83,76,85,56,82,2,1
178088,Juan Mata,Manchester United,29,170,63,Spain,305e5,195e3,564e5,84,84,67,76,84,84,32,55,3,3
177509,M. Benatia,Juventus,30,190,92,Morocco,23e6,145e3,38e6,84,84,74,42,54,64,85,82,3,2
167397,Falcao,AS Monaco,31,177,72,Colombia,28e6,68e3,532e5,84,84,69,84,68,78,37,74,3,3
165229,L. Koscielny,Arsenal,31,186,75,France,21e6,15e4,389e5,84,84,75,41,62,65,85,78,3,2
164468,G. Cahill,Chelsea,31,193,86,England,21e6,16e4,389e5,84,84,63,58,52,61,84,78,3,2
146530,Dani Alves,Paris Saint-Germain,34,172,68,Brazil,9e6,115e3,167e5,84,84,82,68,81,85,77,66,4,3
143076,A. Gómez,Atalanta,29,165,68,Argentina,31e6,6e4,527e5,84,84,90,77,80,89,31,58,3,4
106231,Aduriz,Athletic Club de Bilbao,36,182,78,Spain,11e6,38e3,231e5,84,84,70,83,65,77,46,80,3,3
231747,K. Mbappé,Paris Saint-Germain,18,178,73,France,415e5,31e3,NA,83,94,90,80,74,85,47,74,3,4
231443,O. Dembélé,FC Barcelona,20,178,67,France,4e7,15e4,9e7,83,92,91,76,75,89,33,56,3,5
220971,N. Keïta,RB Leipzig,22,172,64,Guinea,34e6,68e3,604e5,83,88,73,71,77,89,62,70,2,4
216460,J. Giménez,Atlético Madrid,22,185,76,Uruguay,285e5,53e3,606e5,83,87,70,45,51,52,84,81,2,2
215316,G. Rulli,Real Sociedad,25,189,84,Argentina,255e5,28e3,587e5,83,89,85,79,75,86,51,82,3,1
213565,T. Lemar,AS Monaco,21,170,58,France,385e5,37e3,809e5,83,91,85,78,80,86,62,70,3,3
212814,João Mário,Inter,24,179,73,Portugal,34e6,7e4,604e5,83,88,73,70,80,83,70,71,3,3
212190,N. Süle,FC Bayern Munich,21,195,97,Germany,305e5,78e3,564e5,83,89,65,41,51,49,83,81,2,2
210257,Ederson,Manchester City,23,188,86,Brazil,26e6,87e3,533e5,83,89,81,76,82,87,63,78,2,1
209658,L. Goretzka,FC Schalke 04,22,189,79,Germany,34e6,46e3,604e5,83,88,85,74,80,80,78,76,3,3
209499,Fabinho,AS Monaco,23,188,78,Brazil,295e5,37e3,583e5,83,88,74,65,76,76,83,83,3,3
209331,M. Salah,Liverpool,25,175,71,Egypt,325e5,135e3,642e5,83,86,93,73,74,87,45,66,3,4
208596,A. Belotti,Torino,23,181,72,Italy,37e6,58e3,703e5,83,90,82,81,57,78,29,84,3,3
208448,E. Forsberg,RB Leipzig,25,179,78,Sweden,315e5,75e3,559e5,83,85,75,74,83,83,30,66,2,3
207865,Marquinhos,Paris Saint-Germain,23,183,75,Brazil,305e5,75e3,625e5,83,89,71,38,68,69,84,76,3,2
207566,William Carvalho,Sporting CP,25,187,83,Portugal,275e5,21e3,571e5,83,86,53,57,77,74,80,83,3,3
205600,S. Umtiti,FC Barcelona,23,182,75,France,295e5,135e3,627e5,83,88,74,64,71,71,82,79,3,2
204485,R. Mahrez,Leicester City,26,179,67,Algeria,305e5,88e3,602e5,83,84,82,74,78,88,28,55,3,5
203376,V. van Dijk,Southampton,25,193,92,Netherlands,275e5,89e3,543e5,83,86,73,60,67,69,83,85,3,2
201942,Roberto Firmino,Liverpool,25,181,76,Brazil,33e6,135e3,652e5,83,86,77,81,79,85,46,77,3,4
200888,Danilo Pereira,FC Porto,25,188,83,Portugal,275e5,18e3,571e5,83,86,68,62,69,74,82,87,3,2
199715,Vitolo,UD Las Palmas,27,184,80,Spain,27e6,68e3,NA,83,83,80,77,79,83,28,76,2,3
199482,A. Lopes,Olympique Lyonnais,26,184,81,Portugal,215e5,6e4,425e5,83,85,86,79,73,85,62,79,2,1
198176,S. de Vrij,Lazio,25,189,78,Netherlands,29e6,56e3,515e5,83,88,68,41,58,65,85,76,3,2
198009,M. Perin,Genoa,24,188,77,Italy,25e6,28e3,444e5,83,88,80,85,71,90,56,78,2,1
197061,J. Matip,Liverpool,25,195,90,Cameroon,265e5,11e4,523e5,83,85,67,46,68,66,84,78,2,2
193474,I. Gueye,Everton,27,174,66,Senegal,245e5,115e3,484e5,83,84,76,60,70,77,83,81,2,2
192629,Iago Aspas,RC Celta de Vigo,29,176,67,Spain,26e6,39e3,546e5,83,83,81,83,73,85,29,63,2,3
192387,C. Immobile,Lazio,27,185,85,Italy,305e5,7e4,541e5,83,84,83,84,61,79,38,76,3,3
192366,N. Otamendi,Manchester City,29,183,81,Argentina,2e7,14e4,37e6,83,83,63,56,59,54,83,81,3,2
191180,J. Pastore,Paris Saint-Germain,28,187,78,Argentina,255e5,1e5,472e5,83,83,71,75,83,85,58,64,3,4
189513,Parejo,Valencia CF,28,182,74,Spain,255e5,45e3,536e5,83,83,52,77,87,78,61,69,2,3
189358,S. Kagawa,Borussia Dortmund,28,175,68,Japan,26e6,75e3,442e5,83,83,70,68,76,87,34,49,3,4
189125,G. Bonaventura,Milan,27,181,75,Italy,265e5,115e3,451e5,83,83,78,77,82,83,67,73,3,3
189068,B. Dost,Sporting CP,28,196,89,Netherlands,27e6,28e3,54e6,83,83,60,83,57,64,43,83,3,2
188377,K. Walker,Manchester City,27,183,83,England,24e6,13e4,462e5,83,84,90,63,73,76,80,81,3,2
188152,Oscar,NA,25,179,67,Brazil,0,0,NA,83,86,74,75,79,82,43,47,3,4
187936,S. N'Zonzi,Sevilla FC,28,190,75,France,21e6,25e3,441e5,83,83,57,67,73,71,80,88,2,3
186547,M. Musacchio,Milan,26,180,73,Argentina,27e6,105e3,479e5,83,86,70,51,67,58,84,78,3,2
185239,O. Toprak,Borussia Dortmund,27,186,83,Turkey,245e5,66e3,435e5,83,84,76,39,62,67,85,75,3,2
185020,José Callejón,Napoli,30,178,73,Spain,245e5,87e3,417e5,83,83,90,78,71,83,35,65,3,3
184826,Adrien Silva,NA,28,175,69,Portugal,0,0,NA,83,83,65,76,82,81,78,72,3,3
184431,S. Giovinco,Toronto FC,30,163,61,Italy,25e6,15e3,375e5,83,83,84,81,79,87,27,57,2,4
184144,N. Gaitán,Atlético Madrid,29,173,68,Argentina,255e5,7e4,523e5,83,83,81,74,81,85,39,55,3,4
181783,M. Mandžukić,Juventus,31,190,86,Croatia,235e5,135e3,388e5,83,83,72,78,71,74,65,87,3,3
180819,A. Lallana,Liverpool,29,172,73,England,25e6,135e3,475e5,83,83,73,75,80,84,65,74,3,4
179784,B. Höwedes,Juventus,29,187,82,Germany,2e7,5e4,NA,83,83,64,47,63,64,83,77,3,2
178562,E. Banega,Sevilla FC,29,174,71,Argentina,255e5,27e3,536e5,83,83,69,70,85,84,62,67,3,4
178005,Rui Patrício,Sporting CP,29,190,84,Portugal,175e5,19e3,35e6,83,83,85,81,80,82,55,79,3,1
177683,Y. Sommer,Borussia Mönchengladbach,28,183,79,Switzerland,21e6,39e3,373e5,83,84,81,82,83,83,51,80,3,1
177388,D. Payet,Olympique de Marseille,30,175,77,France,245e5,46e3,466e5,83,83,74,78,85,87,37,69,3,4
177358,M. Schneiderlin,Everton,27,185,75,France,245e5,115e3,484e5,83,84,68,62,76,77,79,81,2,2
176769,Jonas,SL Benfica,33,182,74,Brazil,165e5,21e3,33e6,83,83,65,85,75,84,35,65,3,3
173771,L. Piszczek,Borussia Dortmund,32,184,79,Poland,145e5,66e3,247e5,83,83,79,69,76,74,81,80,3,2
170481,E. Garay,Valencia CF,30,189,90,Argentina,19e6,4e4,399e5,83,83,43,64,66,64,84,80,3,2
167905,A. Valencia,Manchester United,31,180,83,Ecuador,17e6,13e4,315e5,83,83,87,66,75,81,78,85,2,3
163587,K. Schmeichel,Leicester City,30,189,89,Denmark,19e6,65e3,375e5,83,84,83,82,82,86,61,80,2,1
162240,M. Dembélé,Tottenham Hotspur,29,185,88,Belgium,25e6,115e3,475e5,83,83,76,72,77,85,75,84,3,4
161956,Borja Valero,Inter,32,175,73,Spain,2e7,8e4,34e6,83,83,70,69,85,86,63,65,3,4
159147,L. Perrin,AS Saint-Étienne,31,181,80,France,175e5,46e3,33299999.999999996,83,83,68,65,69,67,86,80,2,2
158963,L. Biglia,Milan,31,178,63,Argentina,175e5,105e3,298e5,83,83,69,63,81,80,75,75,3,3
146748,Diego López,RCD Espanyol,35,196,89,Spain,6e6,19e3,126e5,83,83,77,84,76,80,44,83,3,1
146562,Santi Cazorla,Arsenal,32,168,66,Spain,195e5,13e4,361e5,83,83,65,76,85,85,61,63,3,4
142754,J. Mascherano,FC Barcelona,33,174,73,Argentina,105e5,155e3,215e5,83,83,65,53,71,68,82,77,4,2
139869,W. Sneijder,OGC Nice,33,170,72,Netherlands,155e5,47e3,295e5,83,83,69,78,86,82,38,57,3,3
139068,Nani,Lazio,30,177,68,Portugal,245e5,47e3,NA,83,83,81,79,81,86,24,64,3,5
53302,D. De Rossi,Roma,33,184,83,Italy,105e5,73e3,179e5,83,83,68,64,73,70,81,82,3,2
24630,José Reina,Napoli,34,188,92,Spain,105e5,59e3,179e5,83,83,80,83,82,82,57,82,3,1
20775,Quaresma,Beşiktaş JK,33,175,67,Portugal,155e5,67e3,295e5,83,83,83,76,81,88,18,60,3,5
20289,Y. Touré,Manchester City,34,189,90,Ivory Coast,125e5,145e3,231e5,83,83,63,82,80,76,70,83,4,3
5479,Casillas,FC Porto,36,185,84,Spain,35e5,1e4,7e6,83,83,86,74,58,85,58,80,4,1
230621,G. Donnarumma,Milan,18,196,90,Italy,285e5,35e3,542e5,82,94,88,78,72,88,50,78,3,1
222492,L. Sané,Manchester City,21,183,75,Germany,345e5,125e3,707e5,82,91,94,77,72,86,35,70,2,3
219809,T. Bakayoko,Chelsea,22,189,85,France,26e6,105e3,533e5,82,88,73,49,70,77,81,83,2,2
219683,C. Tolisso,FC Bayern Munich,22,181,78,France,305e5,98e3,564e5,82,89,74,76,78,78,76,83,2,3
216594,N. Fekir,Olympique Lyonnais,23,173,78,France,29e6,7e4,573e5,82,86,80,78,77,87,31,75,3,4
216451,J. Seri,OGC Nice,25,168,65,Ivory Coast,26e6,45e3,514e5,82,83,80,71,82,81,72,74,2,2
215785,K. Baldé Diao,AS Monaco,22,181,80,Senegal,325e5,46e3,683e5,82,90,92,76,72,86,29,70,2,4
213331,J. Tah,Bayer 04 Leverkusen,21,192,92,Germany,26e6,47e3,494e5,82,88,72,27,58,58,82,78,2,2
212404,F. Bernardeschi,Juventus,23,183,75,Italy,305e5,11e4,564e5,82,88,84,76,77,86,34,65,2,4
212188,T. Werner,RB Leipzig,21,180,75,Germany,305e5,68e3,541e5,82,87,92,79,65,81,28,65,3,3
211575,André Gomes,FC Barcelona,23,188,84,Portugal,3e7,15e4,675e5,82,88,68,71,78,78,71,81,3,3
211300,A. Martial,Manchester United,21,181,76,France,33e6,115e3,677e5,82,90,90,79,71,86,41,74,3,4
208808,Q. Promes,Spartak Moscow,25,174,72,Netherlands,28e6,76e3,441e5,82,85,89,81,76,83,29,67,2,4
208618,Lucas Vázquez,Real Madrid CF,26,173,70,Spain,26e6,185e3,553e5,82,83,83,73,81,82,43,67,2,3
208421,Saúl,Atlético Madrid,22,181,70,Spain,32e6,59e3,72e6,82,90,73,69,78,81,77,75,3,3
207863,Felipe,FC Porto,28,185,77,Brazil,18e6,2e4,36e6,82,82,68,41,59,61,83,81,3,2
207664,C. Bacca,Villarreal CF,30,181,77,Colombia,215e5,125e3,NA,82,82,77,79,64,79,24,70,3,3
207471,F. Vázquez,Sevilla FC,28,186,82,Italy,225e5,27e3,473e5,82,82,64,77,80,83,43,76,2,3
207410,M. Kovačić,Real Madrid CF,23,178,77,Croatia,3e7,15e4,675e5,82,88,81,69,82,85,61,71,3,4
206652,Sergio Rico,Sevilla FC,23,194,88,Spain,215e5,16e3,468e5,82,87,79,80,78,83,52,82,2,1
206545,Manu Trigueros,Villarreal CF,25,178,71,Spain,275e5,43e3,598e5,82,85,73,74,80,81,65,69,2,4
205452,A. Rüdiger,Chelsea,24,190,85,Germany,245e5,105e3,472e5,82,86,74,40,64,63,82,79,2,2
204970,F. Thauvin,Olympique de Marseille,24,179,70,France,28e6,4e4,553e5,82,85,82,76,78,84,36,63,2,4
204639,S. Savić,Atlético Madrid,26,187,79,Montenegro,24e6,62e3,51e6,82,86,63,35,52,56,83,74,2,2
204525,Iñigo Martínez,Real Sociedad,26,182,79,Spain,24e6,37e3,522e5,82,86,71,56,63,61,82,79,2,2
204277,Roque Mesa,Swansea City,28,171,74,Spain,18e6,85e3,342e5,82,82,77,61,76,77,73,80,2,2
203551,A. Florenzi,Roma,26,173,67,Italy,22e6,73e3,391e5,82,84,85,79,78,82,76,76,3,3
203483,D. Klaassen,Everton,24,179,70,Netherlands,275e5,11e4,543e5,82,85,73,80,74,74,67,79,2,2
202857,K. Bellarabi,Bayer 04 Leverkusen,27,183,80,Germany,23e6,67e3,391e5,82,82,92,77,74,85,33,68,3,4
202652,R. Sterling,Manchester City,22,170,69,England,295e5,14e4,568e5,82,87,93,71,74,85,46,61,3,4
202651,Suso,Milan,23,176,70,Spain,295e5,11e4,524e5,82,87,82,75,81,87,23,51,3,4
202477,Deulofeu,FC Barcelona,23,177,73,Spain,31e6,165e3,698e5,82,89,93,70,75,88,26,61,3,4
